Time,50BTC.com,AntPool,BTC Guild,BTC.TOP,BTCC Pool,BW.COM,BitFury,BitMinter,Eligius,F2Pool,SlushPool,Unknown,ViaBTC,ghash.io,others,,ALL,ANTPOOL,F2POOL,VIABTC,BTCCOM
2016-05-17 00:00:00 UTC,,3.02E+17,,,1.27E+17,1.36E+17,1.36E+17,,,4.77E+17,6.82E+16,,,9.74E+15,1.17E+17,,1.37E+18,3.02E+17,4.77E+17,0.00E+00,0.00E+00
2016-05-18 00:00:00 UTC,,2.71E+17,,,1.84E+17,2.13E+17,1.07E+17,,1.94E+16,4.07E+17,9.69E+16,9.69E+15,,9.69E+15,1.65E+17,,1.48E+18,2.71E+17,4.07E+17,0.00E+00,0.00E+00
2016-05-19 00:00:00 UTC,,2.50E+17,,,1.83E+17,1.35E+17,1.06E+17,,,3.17E+17,4.81E+16,2.89E+16,,,8.66E+16,,1.15E+18,2.50E+17,3.17E+17,0.00E+00,0.00E+00
2016-05-20 00:00:00 UTC,,3.49E+17,,,1.75E+17,1.36E+17,1.75E+17,1.94E+16,,3.49E+17,5.82E+16,9.71E+15,,9.71E+15,1.65E+17,,1.45E+18,3.49E+17,3.49E+17,0.00E+00,0.00E+00
2016-05-21 00:00:00 UTC,,3.24E+17,,,2.00E+17,2.10E+17,1.14E+17,,,3.05E+17,4.77E+16,9.53E+15,,,1.33E+17,,1.34E+18,3.24E+17,3.05E+17,0.00E+00,0.00E+00
2016-05-22 00:00:00 UTC,,4.73E+17,,,2.32E+17,1.45E+17,2.03E+17,,,4.35E+17,1.35E+17,9.66E+15,,,1.45E+17,,1.78E+18,4.73E+17,4.35E+17,0.00E+00,0.00E+00
2016-05-23 00:00:00 UTC,,3.29E+17,,,2.71E+17,2.03E+17,1.55E+17,9.68E+15,9.68E+15,4.55E+17,4.84E+16,4.84E+16,,,2.13E+17,,1.74E+18,3.29E+17,4.55E+17,0.00E+00,0.00E+00
2016-05-24 00:00:00 UTC,,3.80E+17,,,1.07E+17,1.27E+17,1.07E+17,,9.74E+15,3.60E+17,8.76E+16,4.87E+16,,9.74E+15,1.95E+17,,1.43E+18,3.80E+17,3.60E+17,0.00E+00,0.00E+00
2016-05-25 00:00:00 UTC,,3.16E+17,,,2.08E+17,1.29E+17,1.09E+17,,,2.67E+17,1.29E+17,9.89E+15,,,1.98E+17,,1.36E+18,3.16E+17,2.67E+17,0.00E+00,0.00E+00
2016-05-26 00:00:00 UTC,,2.95E+17,,,1.57E+17,1.77E+17,1.28E+17,,,3.15E+17,7.87E+16,9.84E+15,,,1.67E+17,,1.33E+18,2.95E+17,3.15E+17,0.00E+00,0.00E+00
2016-05-27 00:00:00 UTC,,3.18E+17,,,2.19E+17,1.69E+17,6.97E+16,9.95E+15,,3.78E+17,4.98E+16,,,,1.69E+17,,1.38E+18,3.18E+17,3.78E+17,0.00E+00,0.00E+00
2016-05-28 00:00:00 UTC,,2.27E+17,,,1.77E+17,1.97E+17,1.28E+17,,,2.96E+17,5.91E+16,1.97E+16,,1.97E+16,1.87E+17,,1.31E+18,2.27E+17,2.96E+17,0.00E+00,0.00E+00
2016-05-29 00:00:00 UTC,,2.29E+17,,,2.09E+17,1.30E+17,1.89E+17,9.97E+15,,4.89E+17,4.98E+16,1.99E+16,,,1.40E+17,,1.47E+18,2.29E+17,4.89E+17,0.00E+00,0.00E+00
2016-05-30 00:00:00 UTC,,2.27E+17,,,2.17E+17,1.58E+17,8.87E+16,,,5.42E+17,6.90E+16,1.97E+16,,,9.86E+16,,1.42E+18,2.27E+17,5.42E+17,0.00E+00,0.00E+00
2016-05-31 00:00:00 UTC,,2.78E+17,,,2.19E+17,5.96E+16,1.29E+17,,,3.78E+17,5.96E+16,9.94E+15,,,1.29E+17,,1.26E+18,2.78E+17,3.78E+17,0.00E+00,0.00E+00
2016-06-01 00:00:00 UTC,,2.48E+17,,,2.08E+17,2.28E+17,1.19E+17,,,3.87E+17,5.95E+16,3.97E+16,,9.92E+15,1.19E+17,,1.42E+18,2.48E+17,3.87E+17,0.00E+00,0.00E+00
2016-06-02 00:00:00 UTC,,3.49E+17,,,2.29E+17,1.30E+17,1.10E+17,,9.97E+15,3.39E+17,5.98E+16,1.99E+16,,,1.30E+17,,1.38E+18,3.49E+17,3.39E+17,0.00E+00,0.00E+00
2016-06-03 00:00:00 UTC,,3.05E+17,,,1.77E+17,1.57E+17,1.87E+17,,2.95E+16,3.05E+17,5.90E+16,2.95E+16,,,1.48E+17,,1.40E+18,3.05E+17,3.05E+17,0.00E+00,0.00E+00
2016-06-04 00:00:00 UTC,,2.28E+17,,,1.29E+17,1.39E+17,9.92E+15,9.92E+15,9.92E+15,4.17E+17,2.98E+16,1.98E+16,,9.92E+15,1.79E+17,,1.18E+18,2.28E+17,4.17E+17,0.00E+00,0.00E+00
2016-06-05 00:00:00 UTC,,3.65E+17,,,1.08E+17,2.27E+17,2.07E+17,,,4.43E+17,6.90E+16,9.85E+15,3.94E+16,,2.07E+17,,1.68E+18,3.65E+17,4.43E+17,3.94E+16,0.00E+00
2016-06-06 00:00:00 UTC,,3.77E+17,,,2.18E+17,1.59E+17,1.59E+17,,,4.17E+17,1.19E+17,2.98E+16,,,2.09E+17,,1.69E+18,3.77E+17,4.17E+17,6.94E+16,0.00E+00
2016-06-07 00:00:00 UTC,,3.47E+17,,,1.39E+17,9.91E+16,1.49E+17,,,3.96E+17,1.19E+17,9.91E+15,9.91E+15,,1.19E+17,,1.39E+18,3.47E+17,3.96E+17,9.91E+15,0.00E+00
2016-06-08 00:00:00 UTC,,3.25E+17,,,1.83E+17,1.73E+17,1.22E+17,,,3.86E+17,3.05E+16,5.08E+16,3.05E+16,1.02E+16,1.52E+17,,1.46E+18,3.25E+17,3.86E+17,3.05E+16,0.00E+00
2016-06-09 00:00:00 UTC,,2.08E+17,,,2.55E+17,1.80E+17,1.61E+17,,,4.07E+17,6.62E+16,3.78E+16,9.46E+15,,2.37E+17,,1.56E+18,2.08E+17,4.07E+17,9.46E+15,0.00E+00
2016-06-10 00:00:00 UTC,,3.09E+17,,,1.26E+17,1.06E+17,1.74E+17,,,3.67E+17,5.79E+16,9.65E+15,2.90E+16,9.65E+15,2.03E+17,,1.39E+18,3.09E+17,3.67E+17,2.90E+16,0.00E+00
2016-06-11 00:00:00 UTC,,3.63E+17,,,2.35E+17,1.47E+17,9.80E+16,9.80E+15,,4.41E+17,3.92E+16,,9.80E+15,9.80E+15,1.76E+17,,1.53E+18,3.63E+17,4.41E+17,9.80E+15,0.00E+00
2016-06-12 00:00:00 UTC,,2.33E+17,,,2.62E+17,2.23E+17,1.07E+17,9.69E+15,,3.78E+17,5.82E+16,,,,1.45E+17,,1.42E+18,2.33E+17,3.78E+17,9.80E+15,0.00E+00
